ticket_text,channel,response_hours,escalated
i am trying to understand the data export feature no rush at all and i still have no answer,chat,3.2,0
i am trying to understand the discount that was applied no rush at all i expect this resolved today,phone,0.32,0
quick question about the monthly usage report thanks in advance,chat,4.52,0
could you please explain the seat i removed last month no rush at all,chat,2.21,0
your team promised a fix last week for the subscription renewal i am considering cancelling,portal,13.01,0
i want a refund for the api rate limit i am considering cancelling,email,24.47,0
i want a refund for the monthly usage report and i still have no answer,portal,13.03,1
this is the third time i am writing about the monthly usage report and i still have no answer,email,16.42,1
your team promised a fix last week for the invoice on my account please escalate this to a manager,portal,8.13,1
nobody has replied to my messages about the monthly usage report please escalate this to a manager,chat,19.97,1
could you please explain the discount that was applied happy to send screenshots,chat,5.19,0
your team promised a fix last week for the data export feature please escalate this to a manager,phone,15.72,0
just checking on the invoice on my account thanks in advance,portal,2.66,0
just checking on the subscription renewal whenever you get a chance,email,7.21,0
quick question about the discount that was applied happy to send screenshots,phone,0.37,1
quick question about the subscription renewal whenever you get a chance,email,2.6,0
just checking on the discount that was applied thanks in advance,email,1.26,0
nobody has replied to my messages about the seat i removed last month i am considering cancelling,email,3.96,1
just checking on the api rate limit happy to send screenshots,portal,10.91,1
your team promised a fix last week for the invoice on my account i expect this resolved today whenever you get a chance,email,7.47,1
your team promised a fix last week for the data export feature please escalate this to a manager,email,4.76,0
nobody has replied to my messages about the mobile app login i am considering cancelling,email,14.52,1
i am trying to understand the api rate limit thanks for the help,portal,9.46,0
i am trying to understand the discount that was applied whenever you get a chance,email,10.14,0
just checking on the seat i removed last month thanks in advance,chat,3.49,0
wondering if it is possible to the monthly usage report no rush at all,phone,10.5,0
quick question about the discount that was applied no rush at all,chat,7.63,0
quick question about the invoice on my account whenever you get a chance,email,3.37,0
nobody has replied to my messages about the data export feature this is unacceptable,phone,5.06,0
nobody has replied to my messages about the invoice on my account and i still have no answer,email,9.41,0
this is the third time i am writing about the invoice on my account please escalate this to a manager,email,8.87,0
i want a refund for the seat i removed last month i expect this resolved today,portal,3.36,0
i am trying to understand the mobile app login happy to send screenshots,portal,9.09,0
i want a refund for the discount that was applied this is unacceptable,email,11.65,0
wondering if it is possible to the discount that was applied happy to send screenshots,email,5.66,0
i am trying to understand the invoice on my account thanks for the help i am considering cancelling,email,8.6,0
quick question about the discount that was applied thanks in advance,chat,1.4,0
just checking on the subscription renewal whenever you get a chance,phone,6.96,0
i have been charged twice for the mobile app login i expect this resolved today,chat,5.82,1
quick question about the data export feature happy to send screenshots,email,7.51,0
quick question about the seat i removed last month happy to send screenshots,chat,4.9,1
